人物,出现次数
诸葛亮,988
曹操,934
刘备,907
关羽,779
丞相,488
孔明曰,385
玄德曰,383
张飞,348
吕布,300
孙权,264
赵云,255
司马懿,221
周瑜,217
刘禅,216
袁绍,190
夏侯,185
马超,185
大叫,180
上马,179
魏延,177
